,Stock,Best case profits ratio,Worst case profits ratio,Best case losses ratio,Worst case losses ratio,Max. trade period in days,Min. trade period in days,Avg. trade period in days,Median trade period in days,Total exploration time
0,MMM,0.5692883895131086,0.5692883895131086,0.42696629213483145,0.42696629213483145,1295,3,213.65792759051186,170.0,98.46117925643921
1,AOS,0.48641304347826086,0.48641304347826086,0.5081521739130435,0.5081521739130435,532,1,104.83152173913044,76.0,22.24760603904724
2,ABT,0.597457627118644,0.597457627118644,0.3961864406779661,0.3961864406779661,771,3,189.20974576271186,159.0,50.606666803359985
3,ABBV,0.5048543689320388,0.5048543689320388,0.46601941747572817,0.46601941747572817,420,5,103.66019417475728,86.0,6.406548261642456
4,ABMD,0.39226519337016574,0.39226519337016574,0.6022099447513812,0.6022099447513812,201,1,41.81767955801105,31.0,4.798203229904175
5,ACN,0.5807692307692308,0.5807692307692308,0.4153846153846154,0.4153846153846154,634,3,180.09615384615384,151.0,28.076892137527466
6,ATVI,0.5316455696202531,0.5316455696202531,0.4345991561181435,0.4345991561181435,814,1,101.17721518987342,61.0,13.973513126373291
7,ADM,0.48830409356725146,0.48830409356725146,0.49707602339181284,0.49707602339181284,751,5,125.08771929824562,92.5,25.072319269180298
8,ADBE,0.5239852398523985,0.5239852398523985,0.47232472324723246,0.47232472324723246,372,1,84.18450184501845,63.0,13.298237800598145
9,ADP,0.6421663442940039,0.6421663442940039,0.34235976789168276,0.34235976789168276,1009,3,207.11798839458413,173.0,61.09609246253967
10,AAP,0.41904761904761906,0.41904761904761906,0.580952380952381,0.580952380952381,375,3,99.7,78.0,12.059932708740234
11,AES,0.3983402489626556,0.3983402489626556,0.5933609958506224,0.5933609958506224,738,4,113.850622406639,84.0,15.660443544387817
12,AFL,0.5558139534883721,0.5558139534883721,0.43023255813953487,0.43023255813953487,1003,3,183.13953488372093,132.5,44.590012073516846
13,A,0.5425101214574899,0.5425101214574899,0.4534412955465587,0.4534412955465587,934,1,127.92712550607287,94.0,17.986318588256836
14,AIG,0.6454802259887006,0.6454802259887006,0.3446327683615819,0.3446327683615819,2697,1,636.0353107344632,199.0,257.73642897605896
15,APD,0.5693581780538303,0.5693581780538303,0.41821946169772256,0.41821946169772256,883,7,180.27743271221533,150.0,50.839669942855835
16,AKAM,0.3701657458563536,0.3701657458563536,0.6187845303867403,0.6187845303867403,430,1,73.0,54.0,8.033703565597534
17,ALK,0.41233766233766234,0.41233766233766234,0.5811688311688312,0.5811688311688312,401,1,71.07792207792208,53.5,12.722268104553223
18,ALB,0.4627450980392157,0.4627450980392157,0.5294117647058824,0.5294117647058824,568,3,108.24705882352941,76.0,17.212883710861206
19,ARE,0.516320474777448,0.516320474777448,0.4391691394658754,0.4391691394658754,709,3,174.87240356083086,148.0,36.05235481262207
20,ALGN,0.4930555555555556,0.4930555555555556,0.5069444444444444,0.5069444444444444,313,1,56.548611111111114,50.5,5.019765138626099
21,ALLE,0.496,0.496,0.472,0.472,668,5,177.072,127.0,12.497318744659424
22,LNT,0.6586826347305389,0.6586826347305389,0.281437125748503,0.281437125748503,1383,7,275.8662674650699,233.0,79.4100923538208
23,ALL,0.5219638242894057,0.5219638242894057,0.4573643410852713,0.4573643410852713,631,3,156.94315245478037,141.0,34.17043900489807
24,GOOGL,0.5347826086956522,0.5347826086956522,0.4608695652173913,0.4608695652173913,632,1,114.8391304347826,90.0,15.390884160995483
25,GOOG,0.5242290748898678,0.5242290748898678,0.4713656387665198,0.4713656387665198,625,1,116.63436123348018,92.0,15.200185775756836
26,MO,0.6302158273381295,0.6302158273381295,0.35827338129496406,0.35827338129496406,734,1,167.13525179856114,133.0,66.54939651489258
27,AMZN,0.5933014354066986,0.5933014354066986,0.4019138755980861,0.4019138755980861,540,3,93.76555023923444,71.0,11.224941730499268
28,AMCR,0.4909090909090909,0.4909090909090909,0.2,0.2,1184,10,393.92727272727274,305.0,12.094410419464111
29,AMD,0.36585365853658536,0.36585365853658536,0.6341463414634146,0.6341463414634146,293,3,35.136585365853655,23.0,4.4025397300720215
30,AEE,0.5224719101123596,0.5224719101123596,0.43258426966292135,0.43258426966292135,985,5,262.1488764044944,222.0,51.32620406150818
31,AAL,0.2980769230769231,0.2980769230769231,0.7019230769230769,0.7019230769230769,129,1,39.84615384615385,31.0,2.6071908473968506
32,AEP,0.6148255813953488,0.6148255813953488,0.375,0.375,985,3,254.35610465116278,218.0,98.9540901184082
33,AXP,0.43323863636363635,0.43323863636363635,0.5653409090909091,0.5653409090909091,877,3,148.89914772727272,105.0,59.863415002822876
34,AMT,0.6023166023166023,0.6023166023166023,0.3861003861003861,0.3861003861003861,682,1,184.84942084942085,146.0,26.548233032226562
35,AWK,0.794392523364486,0.794392523364486,0.19158878504672897,0.19158878504672897,562,6,237.5841121495327,220.0,28.396287441253662
36,AMP,0.5164835164835165,0.5164835164835165,0.46703296703296704,0.46703296703296704,332,7,95.03846153846153,87.5,9.806621074676514
37,ABC,0.564748201438849,0.564748201438849,0.4244604316546763,0.4244604316546763,493,5,126.39928057553956,107.0,20.207282304763794
38,AME,0.5013550135501355,0.5013550135501355,0.4823848238482385,0.4823848238482385,814,3,162.63956639566396,134.0,33.921138286590576
39,AMGN,0.4281984334203655,0.4281984334203655,0.556135770234987,0.556135770234987,672,5,111.68668407310705,82.0,24.54294204711914
40,APH,0.5397260273972603,0.5397260273972603,0.44931506849315067,0.44931506849315067,451,3,126.03561643835616,106.0,25.934097290039062
41,ADI,0.432258064516129,0.432258064516129,0.5645161290322581,0.5645161290322581,526,1,111.7741935483871,81.0,20.0136501789093
42,ANSS,0.5779816513761468,0.5779816513761468,0.42201834862385323,0.42201834862385323,814,4,140.7981651376147,87.5,17.262169122695923
43,ANTM,0.5281385281385281,0.5281385281385281,0.43722943722943725,0.43722943722943725,624,3,134.65367965367966,96.0,17.62235116958618
44,AON,0.6357758620689655,0.6357758620689655,0.3577586206896552,0.3577586206896552,939,5,165.46336206896552,140.0,43.87682843208313
45,APA,0.3956386292834891,0.3956386292834891,0.6012461059190031,0.6012461059190031,437,1,73.95638629283489,52.0,14.044069528579712
46,AAPL,0.47858942065491183,0.47858942065491183,0.5214105793450882,0.5214105793450882,339,1,64.69017632241814,46.0,14.991400718688965
47,AMAT,0.4232081911262799,0.4232081911262799,0.5733788395904437,0.5733788395904437,394,1,65.36860068259385,44.0,11.550811052322388
48,APTV,0.5040650406504065,0.5040650406504065,0.4959349593495935,0.4959349593495935,303,6,108.3170731707317,98.0,7.626024484634399
49,ANET,0.6338028169014085,0.6338028169014085,0.36619718309859156,0.36619718309859156,169,3,65.52112676056338,64.0,2.850731134414673
50,AIZ,0.5576036866359447,0.5576036866359447,0.4147465437788018,0.4147465437788018,701,9,157.44239631336404,131.0,19.453614950180054
51,T,0.6397058823529411,0.6397058823529411,0.34375,0.34375,1243,1,247.82720588235293,171.0,76.18027257919312
52,ATO,0.5458715596330275,0.5458715596330275,0.44036697247706424,0.44036697247706424,848,3,232.7316513761468,185.0,57.245580196380615
53,ADSK,0.42435424354243545,0.42435424354243545,0.5756457564575646,0.5756457564575646,304,3,57.306273062730625,42.0,9.502214908599854
54,AZO,0.5766871165644172,0.5766871165644172,0.4233128834355828,0.4233128834355828,786,1,145.75460122699386,120.5,28.074064254760742
55,AVB,0.5214723926380368,0.5214723926380368,0.4325153374233129,0.4325153374233129,1158,5,201.340490797546,163.5,36.871445178985596
56,AVY,0.4892703862660944,0.4892703862660944,0.4978540772532189,0.4978540772532189,1024,1,136.97210300429185,105.5,36.95668053627014
57,BKR,0.41825095057034223,0.41825095057034223,0.5779467680608364,0.5779467680608364,341,1,72.4638783269962,52.0,11.187718868255615
58,BALL,0.5174825174825175,0.5174825174825175,0.47785547785547783,0.47785547785547783,792,1,173.76456876456876,133.0,43.00051832199097
59,BAC,0.5189873417721519,0.5189873417721519,0.47341772151898737,0.47341772151898737,652,1,149.8253164556962,96.0,33.84291648864746
60,BBWI,0.45484949832775917,0.45484949832775917,0.5451505016722408,0.5451505016722408,346,3,79.00334448160535,53.0,13.933579444885254
61,BAX,0.5,0.5,0.4711934156378601,0.4711934156378601,920,3,179.90534979423867,139.5,50.12664031982422
62,BDX,0.6074766355140186,0.6074766355140186,0.3401869158878505,0.3401869158878505,825,3,192.02990654205607,164.0,58.41676139831543
63,WRB,0.6297968397291196,0.6297968397291196,0.3544018058690745,0.3544018058690745,725,1,173.51241534988714,133.0,45.02669024467468
64,BBY,0.39776951672862454,0.39776951672862454,0.6022304832713755,0.6022304832713755,302,1,53.37546468401487,40.0,9.31359338760376
65,BIO,0.4856396866840731,0.4856396866840731,0.5039164490861618,0.5039164490861618,552,3,105.8485639686684,90.0,23.83624815940857
66,TECH,0.5806451612903226,0.5806451612903226,0.4153225806451613,0.4153225806451613,610,3,166.06854838709677,120.0,23.306440591812134
67,BIIB,0.5240384615384616,0.5240384615384616,0.46153846153846156,0.46153846153846156,304,3,76.53365384615384,65.0,9.156811475753784
68,BLK,0.5857142857142857,0.5857142857142857,0.40714285714285714,0.40714285714285714,432,3,127.625,104.0,20.190420150756836
69,BK,0.49220103986135183,0.49220103986135183,0.5060658578856152,0.5060658578856152,1300,3,162.71230502599653,111.0,53.48312854766846
70,BA,0.5148514851485149,0.5148514851485149,0.48514851485148514,0.48514851485148514,478,4,107.13861386138613,81.0,37.970808267593384
71,BKNG,0.43,0.43,0.56,0.56,370,1,80.405,62.0,9.793964624404907
72,BWA,0.4669260700389105,0.4669260700389105,0.5252918287937743,0.5252918287937743,408,3,92.2295719844358,72.0,13.688382387161255
73,BXP,0.5225806451612903,0.5225806451612903,0.4161290322580645,0.4161290322580645,1310,3,203.8258064516129,146.0,35.540077447891235
74,BSX,0.3426294820717131,0.3426294820717131,0.6454183266932271,0.6454183266932271,480,1,87.40637450199203,62.0,12.6197190284729
75,BMY,0.557632398753894,0.557632398753894,0.42990654205607476,0.42990654205607476,847,4,161.20093457943926,127.0,60.428831815719604
76,AVGO,0.5819672131147541,0.5819672131147541,0.4098360655737705,0.4098360655737705,369,3,87.62295081967213,69.5,7.28978967666626
77,BR,0.6073298429319371,0.6073298429319371,0.387434554973822,0.387434554973822,861,3,168.64921465968587,123.0,18.305232524871826
78,BRO,0.5931232091690545,0.5931232091690545,0.4040114613180516,0.4040114613180516,1074,1,187.63037249283667,148.0,37.62052869796753
79,CHRW,0.4296028880866426,0.4296028880866426,0.5595667870036101,0.5595667870036101,851,6,153.58483754512636,97.0,23.97319984436035
80,CDNS,0.5196850393700787,0.5196850393700787,0.48031496062992124,0.48031496062992124,459,3,98.6259842519685,71.0,14.353472471237183
81,CZR,0.35294117647058826,0.35294117647058826,0.6470588235294118,0.6470588235294118,87,1,36.94117647058823,31.0,0.8734703063964844
82,CPT,0.6498516320474778,0.6498516320474778,0.33827893175074186,0.33827893175074186,822,3,230.01483679525222,198.0,43.44754505157471
83,CPB,0.5135135135135135,0.5135135135135135,0.4698544698544699,0.4698544698544699,1084,6,199.41995841995842,145.0,55.04229712486267
84,COF,0.3767605633802817,0.3767605633802817,0.6232394366197183,0.6232394366197183,863,1,121.50704225352112,82.0,20.222557544708252
85,CAH,0.4409448818897638,0.4409448818897638,0.5433070866141733,0.5433070866141733,823,3,133.5511811023622,93.0,29.440759897232056
86,KMX,0.4079601990049751,0.4079601990049751,0.5920398009950248,0.5920398009950248,295,3,61.20398009950249,43.0,7.314367294311523
87,CCL,0.4115942028985507,0.4115942028985507,0.5826086956521739,0.5826086956521739,582,1,112.74202898550725,86.0,22.246527194976807
88,CARR,0.47619047619047616,0.47619047619047616,0.5238095238095238,0.5238095238095238,99,9,46.095238095238095,50.0,0.7422592639923096
89,CTLT,0.47761194029850745,0.47761194029850745,0.5074626865671642,0.5074626865671642,295,7,76.88059701492537,52.0,3.164881944656372
90,CAT,0.4416445623342175,0.4416445623342175,0.553050397877984,0.553050397877984,833,3,121.315649867374,90.0,52.987361907958984
91,CBOE,0.6527777777777778,0.6527777777777778,0.3263888888888889,0.3263888888888889,481,3,135.29166666666666,120.0,10.964611530303955
92,CBRE,0.48299319727891155,0.48299319727891155,0.5170068027210885,0.5170068027210885,341,3,98.12244897959184,78.0,8.318548917770386
93,CDW,0.6285714285714286,0.6285714285714286,0.3523809523809524,0.3523809523809524,317,1,123.23809523809524,123.0,7.330227375030518
94,CE,0.42162162162162165,0.42162162162162165,0.5567567567567567,0.5567567567567567,356,3,89.12972972972973,66.0,9.500606298446655
95,CNC,0.42857142857142855,0.42857142857142855,0.54421768707483,0.54421768707483,277,1,62.666666666666664,46.0,5.575652599334717
96,CNP,0.6150306748466258,0.6150306748466258,0.37576687116564417,0.37576687116564417,1177,3,246.94018404907976,174.5,92.09795260429382
97,CDAY,0.375,0.375,0.625,0.625,153,3,35.458333333333336,22.5,0.835554838180542
98,CERN,0.4864864864864865,0.4864864864864865,0.4749034749034749,0.4749034749034749,445,1,101.22779922779922,86.0,15.511487007141113
99,CF,0.5434782608695652,0.5434782608695652,0.4492753623188406,0.4492753623188406,318,4,85.83333333333333,64.5,6.967929363250732
100,CRL,0.49356223175965663,0.49356223175965663,0.4978540772532189,0.4978540772532189,727,1,127.98283261802575,93.0,16.88334035873413
101,SCHW,0.4981684981684982,0.4981684981684982,0.4945054945054945,0.4945054945054945,434,5,73.86813186813187,48.0,11.89389157295227
102,CHTR,0.5298507462686567,0.5298507462686567,0.4626865671641791,0.4626865671641791,350,7,103.38059701492537,92.5,8.109915256500244
103,CVX,0.563845050215208,0.563845050215208,0.4261119081779053,0.4261119081779053,980,5,187.76327116212337,144.0,74.53528213500977
104,CMG,0.36774193548387096,0.36774193548387096,0.632258064516129,0.632258064516129,355,1,67.96774193548387,50.0,6.51649284362793
105,CB,0.5483870967741935,0.5483870967741935,0.41935483870967744,0.41935483870967744,712,1,195.7258064516129,151.5,34.37048888206482
106,CHD,0.6148648648648649,0.6148648648648649,0.3716216216216216,0.3716216216216216,856,1,171.4617117117117,136.5,43.194743156433105
107,CI,0.5290023201856149,0.5290023201856149,0.4593967517401392,0.4593967517401392,462,3,106.4385150812065,93.0,26.21565866470337
108,CINF,0.632,0.632,0.3413333333333333,0.3413333333333333,868,4,234.328,174.0,50.43146204948425
109,CTAS,0.603988603988604,0.603988603988604,0.37606837606837606,0.37606837606837606,989,1,156.03418803418805,128.0,33.09567737579346
110,CSCO,0.4612903225806452,0.4612903225806452,0.5387096774193548,0.5387096774193548,606,3,114.52580645161291,86.0,21.31682825088501
111,C,0.46037735849056605,0.46037735849056605,0.5377358490566038,0.5377358490566038,1068,3,160.45471698113207,92.0,48.65009355545044
112,CFG,0.38636363636363635,0.38636363636363635,0.5909090909090909,0.5909090909090909,317,7,96.98863636363636,73.5,4.852210521697998
113,CTXS,0.38738738738738737,0.38738738738738737,0.581081081081081,0.581081081081081,443,3,99.95045045045045,69.0,12.842166662216187
114,CLX,0.6691312384473198,0.6691312384473198,0.32532347504621073,0.32532347504621073,852,3,231.91497227356746,200.0,70.81915712356567
115,CME,0.6059322033898306,0.6059322033898306,0.3940677966101695,0.3940677966101695,575,5,137.9364406779661,113.0,18.566242933273315
116,CMS,0.603448275862069,0.603448275862069,0.375,0.375,619,1,179.79525862068965,155.0,47.689828872680664
117,KO,0.6606538895152199,0.6606538895152199,0.32807215332581735,0.32807215332581735,1074,5,269.6099210822999,193.0,135.97372269630432
118,CTSH,0.39732142857142855,0.39732142857142855,0.59375,0.59375,454,4,105.32142857142857,83.0,13.508903741836548
119,CL,0.5074875207986689,0.5074875207986689,0.46256239600665555,0.46256239600665555,1100,7,224.8153078202995,183.0,76.36470627784729
120,CMCSA,0.4613003095975232,0.4613003095975232,0.5263157894736842,0.5263157894736842,589,3,140.38080495356039,108.0,25.734560251235962
121,CMA,0.4103896103896104,0.4103896103896104,0.5714285714285714,0.5714285714285714,1111,1,155.4987012987013,99.0,34.66880559921265
122,CAG,0.4692144373673036,0.4692144373673036,0.4989384288747346,0.4989384288747346,928,3,182.26539278131634,151.0,48.49714708328247
123,COP,0.49534883720930234,0.49534883720930234,0.49767441860465117,0.49767441860465117,671,3,132.26279069767443,93.5,33.286874532699585
124,ED,0.6354609929078014,0.6354609929078014,0.3446808510638298,0.3446808510638298,1095,5,270.01418439716315,210.0,108.48014760017395
