,Stock,Best case profits ratio,Worst case profits ratio,Best case losses ratio,Worst case losses ratio,Max. trade period in days,Min. trade period in days,Avg. trade period in days,Median trade period in days,Total exploration time
0,MMM,0.43139678615574784,0.43139678615574784,0.5673671199011124,0.5673671199011124,363,1,59.6946847960445,43.0,28.258901834487915
1,AOS,0.424,0.424,0.5733333333333334,0.5733333333333334,207,1,38.032,25.0,8.763109922409058
2,ABT,0.49676025917926564,0.49676025917926564,0.5010799136069114,0.5010799136069114,240,1,53.14038876889849,42.0,14.660083770751953
3,ABBV,0.4411764705882353,0.4411764705882353,0.5588235294117647,0.5588235294117647,169,3,43.549019607843135,34.5,2.7405636310577393
4,ABMD,0.4143646408839779,0.4143646408839779,0.585635359116022,0.585635359116022,90,1,16.116022099447513,10.0,2.0361082553863525
5,ACN,0.49224806201550386,0.49224806201550386,0.5038759689922481,0.5038759689922481,279,3,55.531007751937985,41.0,8.45060920715332
6,ATVI,0.4050632911392405,0.4050632911392405,0.5738396624472574,0.5738396624472574,169,1,29.852320675105485,18.0,4.331100225448608
7,ADM,0.4225352112676056,0.4225352112676056,0.5746478873239437,0.5746478873239437,174,1,37.2056338028169,29.0,8.04541015625
8,ADBE,0.46494464944649444,0.46494464944649444,0.5350553505535055,0.5350553505535055,156,1,29.232472324723247,21.0,5.1132097244262695
9,ADP,0.4547244094488189,0.4547244094488189,0.5413385826771654,0.5413385826771654,297,1,56.773622047244096,43.0,16.996317625045776
10,AAP,0.44019138755980863,0.44019138755980863,0.5598086124401914,0.5598086124401914,189,1,33.48803827751196,25.0,4.212978363037109
11,AES,0.36134453781512604,0.36134453781512604,0.6386554621848739,0.6386554621848739,213,1,29.99579831932773,19.0,4.461222410202026
12,AFL,0.40420560747663553,0.40420560747663553,0.5887850467289719,0.5887850467289719,370,1,54.54205607476636,33.0,13.787481784820557
13,A,0.44129554655870445,0.44129554655870445,0.5587044534412956,0.5587044534412956,167,1,33.34412955465587,26.0,4.9658331871032715
