,Stock,Best case profits ratio,Worst case profits ratio,Best case losses ratio,Worst case losses ratio,Max. trade period in days,Min. trade period in days,Avg. trade period in days,Median trade period in days,Total exploration time
0,MMM,0.35555555555555557,0.35555555555555557,0.6432098765432098,0.6432098765432098,738,1,114.84197530864198,73.5,54.14602255821228
1,AOS,0.3518005540166205,0.3518005540166205,0.6454293628808865,0.6454293628808865,497,1,67.99168975069252,43.0,14.35323166847229
2,ABT,0.4004329004329004,0.4004329004329004,0.5974025974025974,0.5974025974025974,619,1,112.07575757575758,76.5,30.87754225730896
3,ABBV,0.3300970873786408,0.3300970873786408,0.6601941747572816,0.6601941747572816,341,3,70.44660194174757,57.0,4.270231485366821
4,ABMD,0.30939226519337015,0.30939226519337015,0.6850828729281768,0.6850828729281768,201,1,28.574585635359117,15.0,3.401172399520874
5,ACN,0.38076923076923075,0.38076923076923075,0.6153846153846154,0.6153846153846154,513,3,111.75,76.0,16.805874824523926
6,ATVI,0.2936170212765957,0.2936170212765957,0.6808510638297872,0.6808510638297872,499,1,50.659574468085104,27.0,7.2694079875946045
7,ADM,0.3206997084548105,0.3206997084548105,0.6676384839650146,0.6676384839650146,647,1,73.52478134110787,45.0,15.139770030975342
8,ADBE,0.3722627737226277,0.3722627737226277,0.6277372262773723,0.6277372262773723,372,1,56.934306569343065,37.0,9.543771505355835
9,ADP,0.375968992248062,0.375968992248062,0.6201550387596899,0.6201550387596899,727,1,113.90891472868218,74.0,34.23359155654907
10,AAP,0.2796208530805687,0.2796208530805687,0.7203791469194313,0.7203791469194313,253,1,59.70142180094787,35.0,7.5543131828308105
11,AES,0.21645021645021645,0.21645021645021645,0.7792207792207793,0.7792207792207793,303,1,55.38528138528139,31.0,7.5633556842803955
12,AFL,0.32027649769585254,0.32027649769585254,0.6728110599078341,0.6728110599078341,777,1,107.79953917050692,53.5,27.760899782180786
13,A,0.33739837398373984,0.33739837398373984,0.6585365853658537,0.6585365853658537,666,1,69.8089430894309,39.0,11.408466815948486
14,AIG,0.5315186246418339,0.5315186246418339,0.4670487106017192,0.4670487106017192,2660,1,600.9025787965616,139.5,239.30818581581116
15,APD,0.3797979797979798,0.3797979797979798,0.6161616161616161,0.6161616161616161,561,1,107.94747474747474,67.0,30.820900917053223
16,AKAM,0.2430939226519337,0.2430939226519337,0.7569060773480663,0.7569060773480663,325,1,41.51933701657459,20.0,4.915548801422119
17,ALK,0.2715654952076677,0.2715654952076677,0.7252396166134185,0.7252396166134185,320,1,38.853035143769965,24.0,8.17520785331726
18,ALB,0.2706766917293233,0.2706766917293233,0.7293233082706767,0.7293233082706767,462,1,62.045112781954884,36.5,10.534953355789185
19,ARE,0.3825301204819277,0.3825301204819277,0.5903614457831325,0.5903614457831325,640,1,120.0632530120482,88.5,22.61921238899231
20,ALGN,0.3125,0.3125,0.6875,0.6875,164,1,33.895833333333336,19.0,3.3137166500091553
21,ALLE,0.24193548387096775,0.24193548387096775,0.75,0.75,515,1,88.16129032258064,44.0,6.3719398975372314
22,LNT,0.48,0.48,0.49,0.49,835,1,190.19,143.5,54.51899337768555
23,ALL,0.42317380352644834,0.42317380352644834,0.5642317380352645,0.5642317380352645,530,1,113.85390428211586,91.0,26.009294748306274
24,GOOGL,0.3695652173913043,0.3695652173913043,0.6304347826086957,0.6304347826086957,625,1,74.3695652173913,54.0,10.093570470809937
25,GOOG,0.34801762114537443,0.34801762114537443,0.6519823788546255,0.6519823788546255,439,1,72.13656387665198,51.0,9.941394805908203
26,MO,0.3991477272727273,0.3991477272727273,0.59375,0.59375,610,1,98.6534090909091,63.0,40.26493430137634
27,AMZN,0.4019138755980861,0.4019138755980861,0.5933014354066986,0.5933014354066986,273,1,58.22488038277512,45.0,7.237797021865845
28,AMCR,0.2857142857142857,0.2857142857142857,0.625,0.625,1184,3,248.10714285714286,93.5,7.934234142303467
29,AMD,0.25365853658536586,0.25365853658536586,0.7463414634146341,0.7463414634146341,167,1,19.502439024390245,11.0,2.6899352073669434
30,AEE,0.3147632311977716,0.3147632311977716,0.6629526462395543,0.6629526462395543,905,1,158.67688022284122,101.0,31.914583444595337
31,AAL,0.18269230769230768,0.18269230769230768,0.8173076923076923,0.8173076923076923,122,1,22.307692307692307,15.0,1.8995275497436523
32,AEP,0.41150442477876104,0.41150442477876104,0.5825958702064897,0.5825958702064897,861,1,151.37905604719765,115.0,60.08305621147156
33,AXP,0.26166902404526166,0.26166902404526166,0.7369165487977369,0.7369165487977369,607,1,93.43988684582744,52.0,38.55274701118469
34,AMT,0.41379310344827586,0.41379310344827586,0.5823754789272031,0.5823754789272031,649,1,112.16091954022988,68.0,16.734336137771606
35,AWK,0.5953488372093023,0.5953488372093023,0.4,0.4,547,1,170.55348837209303,147.0,20.562462329864502
36,AMP,0.34972677595628415,0.34972677595628415,0.639344262295082,0.639344262295082,238,1,62.59016393442623,51.0,6.941837787628174
37,ABC,0.3695652173913043,0.3695652173913043,0.6304347826086957,0.6304347826086957,353,1,73.01449275362319,52.0,11.867588996887207
38,AME,0.2779291553133515,0.2779291553133515,0.7138964577656676,0.7138964577656676,572,1,87.03542234332426,50.0,18.64747667312622
39,AMGN,0.2846153846153846,0.2846153846153846,0.7102564102564103,0.7102564102564103,439,1,61.59487179487179,37.0,14.265233755111694
40,APH,0.3626373626373626,0.3626373626373626,0.6318681318681318,0.6318681318681318,444,1,84.60714285714286,56.0,17.870529651641846
41,ADI,0.25796178343949044,0.25796178343949044,0.7420382165605095,0.7420382165605095,362,1,62.996815286624205,27.0,12.09682011604309
42,ANSS,0.3532110091743119,0.3532110091743119,0.6467889908256881,0.6467889908256881,791,1,77.40825688073394,43.5,9.689415454864502
43,ANTM,0.3418803418803419,0.3418803418803419,0.6495726495726496,0.6495726495726496,624,1,76.84615384615384,50.0,10.515632629394531
44,AON,0.41575492341356673,0.41575492341356673,0.5798687089715536,0.5798687089715536,518,3,105.07877461706784,72.0,28.53812837600708
45,APA,0.23615160349854228,0.23615160349854228,0.7638483965014577,0.7638483965014577,324,1,39.798833819241985,22.0,10.000950336456299
46,AAPL,0.35858585858585856,0.35858585858585856,0.6414141414141414,0.6414141414141414,243,1,42.98989898989899,22.5,11.764763593673706
47,AMAT,0.22972972972972974,0.22972972972972974,0.7702702702702703,0.7702702702702703,253,1,33.15878378378378,18.0,7.004005670547485
48,APTV,0.3770491803278688,0.3770491803278688,0.6229508196721312,0.6229508196721312,247,1,78.84426229508196,67.0,6.053037881851196
49,ANET,0.4084507042253521,0.4084507042253521,0.5915492957746479,0.5915492957746479,159,1,45.859154929577464,42.0,2.00951886177063
