,Stock,Best case profits ratio,Worst case profits ratio,Best case losses ratio,Worst case losses ratio,Max. trade period in days,Min. trade period in days,Avg. trade period in days,Median trade period in days,Total exploration time
0,MMM,0.7684729064039408,0.7684729064039408,0.229064039408867,0.229064039408867,386,1,56.49753694581281,38.0,27.045050382614136
1,AOS,0.7018970189701897,0.7018970189701897,0.2953929539295393,0.2953929539295393,176,1,31.639566395663955,23.0,7.1346235275268555
2,ABT,0.7943722943722944,0.7943722943722944,0.2012987012987013,0.2012987012987013,191,3,46.032467532467535,36.0,12.557371139526367
3,ABBV,0.7254901960784313,0.7254901960784313,0.27450980392156865,0.27450980392156865,139,3,29.068627450980394,22.0,1.8827695846557617
4,ABMD,0.6685082872928176,0.6685082872928176,0.3314917127071823,0.3314917127071823,102,1,14.994475138121548,10.0,2.167152166366577
5,ACN,0.8146718146718147,0.8146718146718147,0.18146718146718147,0.18146718146718147,269,3,41.35521235521235,28.0,6.408878326416016
6,ATVI,0.6820083682008368,0.6820083682008368,0.28870292887029286,0.28870292887029286,150,1,27.619246861924687,15.0,4.073093414306641
7,ADM,0.6878612716763006,0.6878612716763006,0.3092485549132948,0.3092485549132948,227,1,39.8150289017341,28.5,8.582120656967163
8,ADBE,0.7545787545787546,0.7545787545787546,0.24175824175824176,0.24175824175824176,126,1,23.336996336996336,17.0,4.549400806427002
9,ADP,0.8160919540229885,0.8160919540229885,0.1839080459770115,0.1839080459770115,345,1,53.6455938697318,35.0,16.660800457000732
10,AAP,0.7285714285714285,0.7285714285714285,0.2714285714285714,0.2714285714285714,142,1,33.32857142857143,24.5,4.244056224822998
11,AES,0.7074235807860262,0.7074235807860262,0.28820960698689957,0.28820960698689957,347,1,37.27947598253275,22.0,5.271106481552124
12,AFL,0.7004716981132075,0.7004716981132075,0.2971698113207547,0.2971698113207547,325,1,55.5188679245283,38.5,14.032132148742676
13,A,0.7580645161290323,0.7580645161290323,0.24193548387096775,0.24193548387096775,237,1,34.983870967741936,22.0,5.196547031402588
14,AIG,0.7823613086770982,0.7823613086770982,0.2147937411095306,0.2147937411095306,2631,1,561.2247510668564,59.0,221.72055554389954
15,APD,0.7768595041322314,0.7768595041322314,0.21487603305785125,0.21487603305785125,378,1,45.36570247933884,34.0,12.931723594665527
16,AKAM,0.6574585635359116,0.6574585635359116,0.3425414364640884,0.3425414364640884,133,1,25.613259668508288,16.0,2.896912097930908
17,ALK,0.6761904761904762,0.6761904761904762,0.32063492063492066,0.32063492063492066,148,1,22.761904761904763,18.0,4.555321455001831
18,ALB,0.7258687258687259,0.7258687258687259,0.26640926640926643,0.26640926640926643,210,1,29.57915057915058,20.0,4.8353657722473145
19,ARE,0.8005865102639296,0.8005865102639296,0.1906158357771261,0.1906158357771261,336,1,47.12609970674487,32.0,9.270312070846558
20,ALGN,0.7569444444444444,0.7430555555555556,0.24305555555555555,0.2569444444444444,85,1,20.083333333333332,14.0,1.928274154663086
21,ALLE,0.6984126984126984,0.6984126984126984,0.2777777777777778,0.2777777777777778,142,1,40.142857142857146,31.0,2.9863224029541016
22,LNT,0.8169014084507042,0.8169014084507042,0.17303822937625754,0.17303822937625754,630,1,68.9215291750503,47.0,19.906813144683838
23,ALL,0.7603092783505154,0.7603092783505154,0.22938144329896906,0.22938144329896906,230,1,46.896907216494846,35.0,10.72273063659668
24,GOOGL,0.7565217391304347,0.7565217391304347,0.2391304347826087,0.2391304347826087,168,1,29.32608695652174,23.5,4.353193998336792
25,GOOG,0.748898678414097,0.748898678414097,0.24669603524229075,0.24669603524229075,139,1,27.409691629955947,22.0,3.899528741836548
26,MO,0.759018759018759,0.759018759018759,0.23809523809523808,0.23809523809523808,287,1,46.96103896103896,33.0,19.469571590423584
27,AMZN,0.7799043062200957,0.7799043062200957,0.22009569377990432,0.22009569377990432,176,3,27.564593301435405,19.0,3.777864694595337
28,AMCR,0.8545454545454545,0.8545454545454545,0.12727272727272726,0.12727272727272726,1106,6,203.0,34.0,6.45206618309021
29,AMD,0.6731707317073171,0.6731707317073171,0.32682926829268294,0.32682926829268294,64,1,12.463414634146341,8.0,2.1016407012939453
30,AEE,0.7916666666666666,0.7916666666666666,0.20555555555555555,0.20555555555555555,423,3,66.025,50.5,13.813147068023682
31,AAL,0.6571428571428571,0.6571428571428571,0.34285714285714286,0.34285714285714286,85,1,14.333333333333334,10.0,1.135920763015747
32,AEP,0.8123209169054442,0.8123209169054442,0.18624641833810887,0.18624641833810887,791,1,77.121776504298,50.0,31.9814875125885
33,AXP,0.6897546897546898,0.6897546897546898,0.31024531024531027,0.31024531024531027,330,1,52.38095238095238,31.0,21.423882484436035
34,AMT,0.7984496124031008,0.7945736434108527,0.20155038759689922,0.2054263565891473,268,1,37.48837209302326,23.0,5.789870977401733
35,AWK,0.9158878504672897,0.9158878504672897,0.0794392523364486,0.0794392523364486,253,1,53.91588785046729,42.5,6.644930839538574
36,AMP,0.726775956284153,0.726775956284153,0.2677595628415301,0.2677595628415301,169,1,28.40983606557377,22.0,3.2497315406799316
37,ABC,0.7913669064748201,0.7913669064748201,0.20863309352517986,0.20863309352517986,288,1,33.97841726618705,24.0,5.774037837982178
38,AME,0.7486187845303868,0.7486187845303868,0.2430939226519337,0.2430939226519337,281,3,44.533149171270715,33.0,9.811203956604004
39,AMGN,0.6511627906976745,0.6511627906976745,0.34366925064599485,0.34366925064599485,156,1,33.36434108527132,24.0,8.028262615203857
40,APH,0.7262569832402235,0.7262569832402235,0.26256983240223464,0.26256983240223464,226,3,36.427374301675975,28.0,7.7543625831604
41,ADI,0.7066246056782335,0.7066246056782335,0.29337539432176657,0.29337539432176657,185,1,30.277602523659304,20.0,6.006670951843262
42,ANSS,0.7522935779816514,0.7522935779816514,0.24770642201834864,0.24770642201834864,168,1,31.10091743119266,21.0,4.29343056678772
43,ANTM,0.8060344827586207,0.8060344827586207,0.17672413793103448,0.17672413793103448,170,1,31.935344827586206,24.0,4.51741099357605
44,AON,0.7728285077951003,0.7728285077951003,0.22494432071269488,0.22494432071269488,189,1,45.01336302895323,33.0,11.92981767654419
45,APA,0.6865671641791045,0.6865671641791045,0.31044776119402984,0.31044776119402984,164,1,22.083582089552237,15.0,5.10549783706665
46,AAPL,0.6557788944723618,0.6557788944723618,0.3442211055276382,0.3442211055276382,150,1,21.824120603015075,16.0,5.589235544204712
47,AMAT,0.6402640264026402,0.6402640264026402,0.3564356435643564,0.3564356435643564,117,1,23.168316831683168,16.0,4.442344903945923
48,APTV,0.7459016393442623,0.7459016393442623,0.2540983606557377,0.2540983606557377,147,3,29.581967213114755,21.0,2.2943508625030518
49,ANET,0.8028169014084507,0.8028169014084507,0.19718309859154928,0.19718309859154928,101,3,20.971830985915492,15.0,1.1454894542694092
50,AIZ,0.7741935483870968,0.7741935483870968,0.21658986175115208,0.21658986175115208,155,1,41.64976958525346,29.0,5.414724588394165
51,T,0.7832422586520947,0.7832422586520947,0.2167577413479053,0.2167577413479053,409,1,63.2040072859745,40.0,20.55249261856079
52,ATO,0.7782805429864253,0.7782805429864253,0.21945701357466063,0.21945701357466063,337,3,57.425339366515836,43.0,14.947407245635986
53,ADSK,0.6911764705882353,0.6911764705882353,0.3088235294117647,0.3088235294117647,82,1,17.238970588235293,13.0,3.1112606525421143
54,AZO,0.7914110429447853,0.7914110429447853,0.2085889570552147,0.2085889570552147,363,1,39.75153374233129,26.0,7.692089080810547
55,AVB,0.7515527950310559,0.7515527950310559,0.2453416149068323,0.2453416149068323,258,1,53.72981366459627,35.5,10.063689947128296
56,AVY,0.7208791208791209,0.7208791208791209,0.27472527472527475,0.27472527472527475,253,1,40.252747252747255,29.0,11.246531963348389
57,BKR,0.6509803921568628,0.6509803921568628,0.34509803921568627,0.34509803921568627,115,1,23.12156862745098,16.0,4.148092746734619
58,BALL,0.6988235294117647,0.6988235294117647,0.2964705882352941,0.2964705882352941,298,1,48.50588235294118,36.0,12.742319583892822
59,BAC,0.7525773195876289,0.7525773195876289,0.24484536082474226,0.24484536082474226,358,1,39.81443298969072,24.0,9.36191201210022
60,BBWI,0.6610169491525424,0.6610169491525424,0.3389830508474576,0.3389830508474576,191,1,23.105084745762714,15.0,5.594511985778809
61,BAX,0.7584830339321357,0.7584830339321357,0.2375249500998004,0.2375249500998004,367,1,50.624750499002,32.0,14.974210023880005
62,BDX,0.7914338919925512,0.7914338919925512,0.2048417132216015,0.2048417132216015,343,1,51.614525139664806,35.0,16.529009580612183
63,WRB,0.7606263982102909,0.7606263982102909,0.232662192393736,0.232662192393736,293,1,49.131991051454136,38.0,13.31360673904419
64,BBY,0.628158844765343,0.628158844765343,0.37184115523465705,0.37184115523465705,179,1,21.115523465703973,15.0,3.7905848026275635
65,BIO,0.6840731070496083,0.6840731070496083,0.3133159268929504,0.3133159268929504,163,1,34.0130548302872,25.0,7.9503397941589355
66,TECH,0.8047808764940239,0.8047808764940239,0.1952191235059761,0.1952191235059761,267,1,41.72509960159363,26.0,6.463456153869629
67,BIIB,0.7259615384615384,0.7259615384615384,0.2644230769230769,0.2644230769230769,116,1,24.58653846153846,17.0,3.4824602603912354
68,BLK,0.7428571428571429,0.7428571428571429,0.25,0.25,183,1,36.08571428571429,24.0,5.977247953414917
69,BK,0.726148409893993,0.726148409893993,0.27385159010600707,0.27385159010600707,306,1,44.28621908127209,30.0,15.28776240348816
