,Stock,Best case profits ratio,Worst case profits ratio,Best case losses ratio,Worst case losses ratio,Max. trade period in days,Min. trade period in days,Avg. trade period in days,Median trade period in days,Total exploration time
0,MMM,0.8611793611793612,0.8611793611793612,0.13882063882063883,0.13882063882063883,275,1,27.48157248157248,15.0,13.764654874801636
1,AOS,0.8194444444444444,0.8194444444444444,0.18055555555555555,0.18055555555555555,180,1,18.886111111111113,12.0,4.373337268829346
2,ABT,0.8771929824561403,0.8771929824561403,0.12280701754385964,0.12280701754385964,152,1,22.521929824561404,13.5,6.580610036849976
3,ABBV,0.8235294117647058,0.8137254901960784,0.17647058823529413,0.18627450980392157,63,1,14.431372549019608,7.0,1.0619969367980957
4,ABMD,0.7900552486187845,0.7845303867403315,0.20994475138121546,0.2154696132596685,72,1,9.226519337016574,5.0,1.5157299041748047
5,ACN,0.90625,0.90625,0.08984375,0.08984375,248,1,18.91015625,10.5,3.0853471755981445
6,ATVI,0.7877551020408163,0.7877551020408163,0.19591836734693877,0.19591836734693877,114,1,13.228571428571428,7.0,2.5906577110290527
7,ADM,0.8262108262108262,0.8233618233618234,0.1737891737891738,0.17663817663817663,111,1,18.914529914529915,11.0,4.652486562728882
8,ADBE,0.8507462686567164,0.8507462686567164,0.14925373134328357,0.14925373134328357,113,1,11.832089552238806,7.0,2.2375283241271973
9,ADP,0.903353057199211,0.903353057199211,0.09664694280078895,0.09664694280078895,317,1,25.130177514792898,13.0,8.03066110610962
10,AAP,0.8309859154929577,0.8309859154929577,0.16901408450704225,0.16901408450704225,132,1,16.27699530516432,8.0,2.4892537593841553
11,AES,0.8235294117647058,0.8235294117647058,0.17647058823529413,0.17647058823529413,168,1,17.823529411764707,9.0,2.7915563583374023
12,AFL,0.8259860788863109,0.8259860788863109,0.1740139211136891,0.1740139211136891,277,1,27.0,14.0,7.393224477767944
13,A,0.8623481781376519,0.8623481781376519,0.13765182186234817,0.13765182186234817,118,1,15.692307692307692,8.0,2.734973430633545
14,AIG,0.8704225352112676,0.8704225352112676,0.1295774647887324,0.1295774647887324,2631,1,541.3647887323943,29.0,219.27416253089905
15,APD,0.8609406952965235,0.8609406952965235,0.13701431492842536,0.13701431492842536,241,1,21.257668711656443,12.0,6.742463827133179
16,AKAM,0.8397790055248618,0.8397790055248618,0.16022099447513813,0.16022099447513813,120,1,13.370165745856353,7.0,1.7425951957702637
17,ALK,0.8089171974522293,0.8089171974522293,0.1910828025477707,0.1910828025477707,148,1,11.95859872611465,7.0,2.749983549118042
18,ALB,0.872093023255814,0.872093023255814,0.12403100775193798,0.12403100775193798,109,1,12.255813953488373,7.0,2.360806465148926
19,ARE,0.9021406727828746,0.9021406727828746,0.09174311926605505,0.09174311926605505,130,1,19.262996941896024,10.0,4.120320796966553
