,Stock,Best case profits ratio,Worst case profits ratio,Best case losses ratio,Worst case losses ratio,Max. trade period in days,Min. trade period in days,Avg. trade period in days,Median trade period in days,Total exploration time
0,MMM,0.4336175395858709,0.43239951278928135,0.5663824604141291,0.5676004872107187,87,1,11.509135200974422,8.0,6.443141937255859
1,AOS,0.4136986301369863,0.4054794520547945,0.5863013698630137,0.5945205479452055,93,1,8.764383561643836,6.0,2.562309741973877
2,ABT,0.42105263157894735,0.4166666666666667,0.5789473684210527,0.5833333333333334,62,1,10.267543859649123,8.0,3.7853786945343018
3,ABBV,0.5339805825242718,0.5339805825242718,0.46601941747572817,0.46601941747572817,26,1,6.87378640776699,5.0,0.635455846786499
4,ABMD,0.4419889502762431,0.39226519337016574,0.5580110497237569,0.6077348066298343,31,1,3.3922651933701657,1.0,1.05501389503479
5,ACN,0.48828125,0.48828125,0.5078125,0.5078125,52,1,10.11328125,8.0,2.2133991718292236
6,ATVI,0.3855932203389831,0.3728813559322034,0.6101694915254238,0.6228813559322034,36,1,5.516949152542373,4.0,1.2249746322631836
7,ADM,0.4418604651162791,0.436046511627907,0.5581395348837209,0.563953488372093,35,1,8.223837209302326,6.0,3.2344658374786377
8,ADBE,0.43656716417910446,0.4291044776119403,0.5634328358208955,0.5708955223880597,33,1,6.044776119402985,4.0,1.5209290981292725
9,ADP,0.4524271844660194,0.4524271844660194,0.5475728155339806,0.5475728155339806,63,1,10.74757281553398,8.0,4.1700356006622314
10,AAP,0.4142857142857143,0.4095238095238095,0.5857142857142857,0.5904761904761905,44,1,6.576190476190476,5.0,1.299039363861084
11,AES,0.38197424892703863,0.3776824034334764,0.6180257510729614,0.6223175965665236,45,1,5.733905579399142,4.0,1.2472434043884277
12,AFL,0.3957845433255269,0.39344262295081966,0.6018735362997658,0.6042154566744731,70,1,10.971896955503514,7.0,3.265176773071289
13,A,0.45564516129032256,0.45161290322580644,0.5443548387096774,0.5483870967741935,36,1,7.330645161290323,5.0,1.4487380981445312
14,AIG,0.6025459688826026,0.5983026874115983,0.39603960396039606,0.4002828854314003,2624,1,536.9108910891089,13.0,217.21145701408386
15,APD,0.44969199178644764,0.44969199178644764,0.5503080082135524,0.5503080082135524,92,1,9.948665297741274,7.0,3.9658987522125244
