,Stock,Best case profits ratio,Worst case profits ratio,Best case losses ratio,Worst case losses ratio,Max. trade period in days,Min. trade period in days,Avg. trade period in days,Median trade period in days,Total exploration time
0,MMM,0.8345679012345679,0.8345679012345679,0.16419753086419753,0.16419753086419753,329,1,36.31111111111111,22.0,17.713503122329712
1,AOS,0.7629427792915532,0.7629427792915532,0.23705722070844687,0.23705722070844687,161,1,23.272479564032697,16.0,5.553733825683594
2,ABT,0.834051724137931,0.834051724137931,0.16379310344827586,0.16379310344827586,156,1,30.329741379310345,21.0,8.8676016330719
3,ABBV,0.7623762376237624,0.7623762376237624,0.2376237623762376,0.2376237623762376,75,1,17.97029702970297,10.0,1.453674077987671
4,ABMD,0.7513812154696132,0.7458563535911602,0.24861878453038674,0.2541436464088398,72,1,10.784530386740332,7.0,1.4646131992340088
5,ACN,0.8521400778210116,0.8521400778210116,0.14396887159533073,0.14396887159533073,251,1,27.587548638132297,16.0,4.313747406005859
6,ATVI,0.7226890756302521,0.7226890756302521,0.25210084033613445,0.25210084033613445,150,1,19.571428571428573,10.0,3.0062386989593506
7,ADM,0.7748538011695907,0.7748538011695907,0.22514619883040934,0.22514619883040934,203,1,25.669590643274855,17.5,5.696725606918335
8,ADBE,0.8188679245283019,0.8188679245283019,0.1811320754716981,0.1811320754716981,113,1,16.286792452830188,10.0,2.8561766147613525
9,ADP,0.8680688336520076,0.8680688336520076,0.13193116634799235,0.13193116634799235,343,1,37.4282982791587,21.0,11.89742922782898
10,AAP,0.8086124401913876,0.8086124401913876,0.19138755980861244,0.19138755980861244,132,1,22.42105263157895,14.0,3.4428062438964844
11,AES,0.7627118644067796,0.7627118644067796,0.23728813559322035,0.23728813559322035,324,1,24.809322033898304,14.0,3.8297789096832275
12,AFL,0.7814726840855107,0.7814726840855107,0.2161520190023753,0.2161520190023753,281,1,37.85510688836104,22.0,9.729706048965454
13,A,0.8360655737704918,0.8360655737704918,0.16393442622950818,0.16393442622950818,157,1,21.12704918032787,13.0,3.446115493774414
