,Stock,Best case profits ratio,Worst case profits ratio,Best case losses ratio,Worst case losses ratio,Max. trade period in days,Min. trade period in days,Avg. trade period in days,Median trade period in days,Total exploration time
0,MMM,0.17835178351783518,0.17835178351783518,0.8216482164821648,0.8216482164821648,502,1,55.42435424354244,16.0,26.952117919921875
1,AOS,0.1827956989247312,0.1827956989247312,0.8145161290322581,0.8145161290322581,380,1,34.27150537634409,11.0,7.813601016998291
2,ABT,0.18872017353579176,0.18872017353579176,0.8112798264642083,0.8112798264642083,349,1,49.27982646420824,15.0,13.62464690208435
3,ABBV,0.19801980198019803,0.19801980198019803,0.801980198019802,0.801980198019802,243,1,39.7029702970297,15.0,2.498110294342041
4,ABMD,0.15469613259668508,0.15469613259668508,0.8397790055248618,0.8397790055248618,165,1,14.524861878453038,4.0,2.008070945739746
5,ACN,0.18773946360153257,0.18773946360153257,0.8084291187739464,0.8084291187739464,397,1,48.55555555555556,19.0,7.487886190414429
6,ATVI,0.15966386554621848,0.15966386554621848,0.8361344537815126,0.8361344537815126,458,1,22.718487394957982,7.0,3.5399317741394043
7,ADM,0.1511627906976744,0.1511627906976744,0.8372093023255814,0.8372093023255814,397,1,35.75,12.0,7.561109781265259
8,ADBE,0.18315018315018314,0.18315018315018314,0.8168498168498168,0.8168498168498168,214,1,25.992673992673993,8.0,4.482698678970337
9,ADP,0.205078125,0.205078125,0.79296875,0.79296875,498,1,57.91796875,15.0,17.602715253829956
10,AAP,0.10047846889952153,0.10047846889952153,0.8995215311004785,0.8995215311004785,239,1,27.23444976076555,9.0,3.56490159034729
11,AES,0.12552301255230125,0.12552301255230125,0.8702928870292888,0.8702928870292888,270,1,26.322175732217573,8.0,5.233911752700806
12,AFL,0.15654205607476634,0.15654205607476634,0.8387850467289719,0.8387850467289719,490,1,55.9392523364486,13.0,14.315184116363525
13,A,0.18875502008032127,0.18875502008032127,0.8112449799196787,0.8112449799196787,315,1,36.17670682730924,11.0,5.629495859146118
14,AIG,0.37464788732394366,0.37464788732394366,0.6239436619718309,0.6239436619718309,2640,1,558.5225352112676,68.5,223.40522861480713
15,APD,0.2147239263803681,0.2147239263803681,0.7852760736196319,0.7852760736196319,520,1,55.8159509202454,15.0,16.498206853866577
16,AKAM,0.1712707182320442,0.1712707182320442,0.8287292817679558,0.8287292817679558,319,1,24.30939226519337,8.0,2.8150718212127686
17,ALK,0.1553398058252427,0.1553398058252427,0.8446601941747572,0.8446601941747572,167,1,18.372168284789645,7.0,3.9915568828582764
18,ALB,0.15671641791044777,0.15671641791044777,0.8432835820895522,0.8432835820895522,405,1,29.87313432835821,9.0,5.150628089904785
19,ARE,0.2215568862275449,0.2215568862275449,0.7724550898203593,0.7724550898203593,640,1,62.88922155688623,22.0,12.084113597869873
20,ALGN,0.11805555555555555,0.11805555555555555,0.8819444444444444,0.8819444444444444,87,1,12.777777777777779,5.0,1.3446316719055176
21,ALLE,0.152,0.152,0.848,0.848,367,1,49.656,10.0,3.7994093894958496
22,LNT,0.21285140562248997,0.21285140562248997,0.7811244979919679,0.7811244979919679,636,1,85.16465863453816,22.0,24.495941400527954
23,ALL,0.21079691516709512,0.21079691516709512,0.7866323907455013,0.7866323907455013,327,1,56.33676092544987,16.0,12.765902519226074
24,GOOGL,0.1826086956521739,0.1826086956521739,0.8173913043478261,0.8173913043478261,398,1,37.19130434782609,15.0,5.31634521484375
25,GOOG,0.18502202643171806,0.18502202643171806,0.8149779735682819,0.8149779735682819,210,1,38.519823788546255,15.0,5.469331979751587
26,MO,0.21645021645021645,0.21645021645021645,0.7806637806637806,0.7806637806637806,409,1,51.686868686868685,14.0,21.33081316947937
27,AMZN,0.19617224880382775,0.19617224880382775,0.7990430622009569,0.7990430622009569,273,1,27.794258373205743,10.0,3.599515676498413
28,AMCR,0.12727272727272726,0.12727272727272726,0.8363636363636363,0.8363636363636363,1184,1,143.54545454545453,25.0,4.717427968978882
29,AMD,0.13170731707317074,0.13170731707317074,0.8682926829268293,0.8682926829268293,167,1,9.824390243902439,3.0,1.611353874206543
30,AEE,0.18232044198895028,0.18232044198895028,0.8149171270718232,0.8149171270718232,453,1,72.49723756906077,19.0,15.372385501861572
31,AAL,0.08823529411764706,0.08823529411764706,0.9117647058823529,0.9117647058823529,92,1,12.0,3.0,1.1638519763946533
32,AEP,0.21022727272727273,0.21022727272727273,0.7869318181818182,0.7869318181818182,847,1,74.02414772727273,22.0,30.490138292312622
33,AXP,0.12693935119887165,0.12693935119887165,0.8730606488011283,0.8730606488011283,585,1,52.46826516220028,12.0,21.87425184249878
34,AMT,0.1744186046511628,0.1744186046511628,0.8255813953488372,0.8255813953488372,596,1,51.05038759689923,14.0,7.69226861000061
35,AWK,0.2558139534883721,0.2558139534883721,0.7395348837209302,0.7395348837209302,460,1,75.24186046511628,18.0,9.173362255096436
36,AMP,0.18579234972677597,0.18579234972677597,0.8087431693989071,0.8087431693989071,238,1,32.34426229508197,12.0,3.7454309463500977
37,ABC,0.21739130434782608,0.21739130434782608,0.782608695652174,0.782608695652174,353,1,42.507246376811594,15.0,7.01027250289917
38,AME,0.16712328767123288,0.16712328767123288,0.8301369863013699,0.8301369863013699,572,1,43.273972602739725,12.0,9.760893106460571
39,AMGN,0.13624678663239073,0.13624678663239073,0.8637532133676092,0.8637532133676092,223,1,27.575835475578405,8.0,6.744405269622803
40,APH,0.20718232044198895,0.20718232044198895,0.7900552486187845,0.7900552486187845,280,1,44.41988950276243,14.0,9.856642484664917
41,ADI,0.12962962962962962,0.12962962962962962,0.8703703703703703,0.8703703703703703,302,1,29.484567901234566,7.0,6.328272581100464
42,ANSS,0.14220183486238533,0.14220183486238533,0.8577981651376146,0.8577981651376146,254,1,28.74770642201835,9.0,3.982173442840576
43,ANTM,0.18025751072961374,0.18025751072961374,0.8197424892703863,0.8197424892703863,624,1,35.81545064377682,11.0,5.142202615737915
44,AON,0.21767241379310345,0.21767241379310345,0.7801724137931034,0.7801724137931034,467,1,57.125,19.0,15.851221084594727
45,APA,0.10404624277456648,0.10404624277456648,0.8959537572254336,0.8959537572254336,175,1,19.202312138728324,5.5,4.815694570541382
46,AAPL,0.2185929648241206,0.2185929648241206,0.7814070351758794,0.7814070351758794,243,1,24.62060301507538,7.0,6.2070605754852295
47,AMAT,0.13468013468013468,0.13468013468013468,0.8653198653198653,0.8653198653198653,245,1,15.393939393939394,5.0,3.2185580730438232
48,APTV,0.13934426229508196,0.13934426229508196,0.860655737704918,0.860655737704918,218,1,32.9344262295082,10.5,2.5277581214904785
49,ANET,0.15492957746478872,0.15492957746478872,0.8450704225352113,0.8450704225352113,106,1,19.183098591549296,7.0,0.9501950740814209
50,AIZ,0.182648401826484,0.182648401826484,0.8082191780821918,0.8082191780821918,327,1,48.57990867579909,17.0,6.32016396522522
51,T,0.1798165137614679,0.1798165137614679,0.8165137614678899,0.8165137614678899,554,1,55.4,15.0,17.88066053390503
52,ATO,0.14,0.14,0.8577777777777778,0.8577777777777778,530,1,64.99777777777778,16.0,17.03482174873352
53,ADSK,0.15355805243445692,0.15355805243445692,0.846441947565543,0.846441947565543,143,1,17.99625468164794,6.0,3.276768922805786
54,AZO,0.19938650306748465,0.19938650306748465,0.8006134969325154,0.8006134969325154,371,1,40.217791411042946,13.0,8.128872871398926
55,AVB,0.2066869300911854,0.2066869300911854,0.7750759878419453,0.7750759878419453,466,1,59.15501519756839,22.0,11.376399993896484
56,AVY,0.17796610169491525,0.17796610169491525,0.8220338983050848,0.8220338983050848,400,1,40.855932203389834,14.0,12.679786682128906
57,BKR,0.13076923076923078,0.13076923076923078,0.8692307692307693,0.8692307692307693,251,1,18.146153846153847,5.0,3.533957004547119
58,BALL,0.117096018735363,0.117096018735363,0.8805620608899297,0.8805620608899297,398,1,36.70257611241218,10.0,10.05132532119751
59,BAC,0.17587939698492464,0.17587939698492464,0.821608040201005,0.821608040201005,652,1,46.36683417085427,13.0,11.26697325706482
60,BBWI,0.17647058823529413,0.17647058823529413,0.8235294117647058,0.8235294117647058,261,1,24.50326797385621,8.0,4.904143810272217
61,BAX,0.177734375,0.177734375,0.822265625,0.822265625,630,1,51.046875,13.0,15.621163845062256
62,BDX,0.16030534351145037,0.16030534351145037,0.8320610687022901,0.8320610687022901,451,1,50.23664122137404,13.0,15.885794162750244
63,WRB,0.22273781902552203,0.22273781902552203,0.7726218097447796,0.7726218097447796,532,1,57.638051044083525,17.0,14.867182970046997
64,BBY,0.12773722627737227,0.12773722627737227,0.8722627737226277,0.8722627737226277,178,1,14.583941605839415,7.0,2.762063503265381
65,BIO,0.1671018276762402,0.1671018276762402,0.8328981723237598,0.8328981723237598,373,1,32.91906005221932,9.0,7.709544897079468
66,TECH,0.1700404858299595,0.1700404858299595,0.8299595141700404,0.8299595141700404,444,1,38.23481781376518,12.0,6.0018298625946045
67,BIIB,0.19230769230769232,0.19230769230769232,0.8076923076923077,0.8076923076923077,162,1,23.4375,7.0,3.186666250228882
68,BLK,0.18021201413427562,0.18021201413427562,0.8197879858657244,0.8197879858657244,256,1,34.551236749116605,13.0,5.964402675628662
69,BK,0.16071428571428573,0.16071428571428573,0.8392857142857143,0.8392857142857143,330,1,35.732142857142854,13.0,12.377439737319946
70,BA,0.17892976588628762,0.17892976588628762,0.8210702341137124,0.8210702341137124,277,1,30.5,10.0,11.574954986572266
71,BKNG,0.14,0.135,0.86,0.865,266,1,26.54,9.0,3.7501115798950195
72,BWA,0.15503875968992248,0.15503875968992248,0.8449612403100775,0.8449612403100775,183,1,25.732558139534884,8.0,4.213948726654053
73,BXP,0.16233766233766234,0.16233766233766234,0.827922077922078,0.827922077922078,763,1,54.048701298701296,14.5,9.867459535598755
74,BSX,0.12749003984063745,0.12749003984063745,0.8685258964143426,0.8685258964143426,208,1,22.374501992031874,7.0,3.8469574451446533
75,BMY,0.14330218068535824,0.14330218068535824,0.8504672897196262,0.8504672897196262,443,1,44.912772585669785,13.0,17.40544629096985
76,AVGO,0.2,0.2,0.7916666666666666,0.7916666666666666,209,1,27.85,8.0,2.320143222808838
77,BR,0.21052631578947367,0.21052631578947367,0.7894736842105263,0.7894736842105263,350,1,47.742105263157896,15.0,5.540031909942627
78,BRO,0.1797752808988764,0.1797752808988764,0.8202247191011236,0.8202247191011236,690,1,61.7247191011236,15.0,13.32707667350769
79,CHRW,0.15693430656934307,0.15693430656934307,0.8394160583941606,0.8394160583941606,380,1,38.55474452554745,13.0,6.527453660964966
80,CDNS,0.16535433070866143,0.16535433070866143,0.8346456692913385,0.8346456692913385,277,1,29.275590551181104,7.0,4.817786693572998
81,CZR,0.20588235294117646,0.20588235294117646,0.7941176470588235,0.7941176470588235,74,1,17.0,5.5,0.6493191719055176
82,CPT,0.2237960339943343,0.2237960339943343,0.7677053824362606,0.7677053824362606,526,1,74.61473087818698,29.0,15.555300235748291
83,CPB,0.15082644628099173,0.15082644628099173,0.8471074380165289,0.8471074380165289,526,1,51.05785123966942,15.0,15.246792554855347
84,COF,0.12363636363636364,0.12363636363636364,0.8763636363636363,0.8763636363636363,460,1,32.99272727272727,9.0,5.697852849960327
85,CAH,0.15303430079155672,0.15303430079155672,0.8443271767810027,0.8443271767810027,348,1,33.854881266490764,12.0,8.17244029045105
86,KMX,0.10945273631840796,0.10945273631840796,0.8905472636815921,0.8905472636815921,155,1,19.800995024875622,6.0,2.7420008182525635
87,CCL,0.16477272727272727,0.16477272727272727,0.8352272727272727,0.8352272727272727,403,1,37.85227272727273,12.0,8.286412239074707
88,CARR,0.14285714285714285,0.14285714285714285,0.8571428571428571,0.8571428571428571,41,1,10.476190476190476,6.0,0.272047758102417
89,CTLT,0.16417910447761194,0.16417910447761194,0.835820895522388,0.835820895522388,114,1,21.746268656716417,8.0,1.004270315170288
90,CAT,0.14933333333333335,0.14933333333333335,0.8506666666666667,0.8506666666666667,345,1,34.36266666666667,10.0,15.88372015953064
91,CBOE,0.31690140845070425,0.31690140845070425,0.676056338028169,0.676056338028169,203,1,51.37323943661972,17.5,4.4068214893341064
92,CBRE,0.14285714285714285,0.14285714285714285,0.8571428571428571,0.8571428571428571,201,1,26.965986394557824,9.0,2.9272778034210205
93,CDW,0.1523809523809524,0.1523809523809524,0.8380952380952381,0.8380952380952381,186,1,28.723809523809525,8.0,1.89681077003479
94,CE,0.13043478260869565,0.13043478260869565,0.8695652173913043,0.8695652173913043,260,1,28.70108695652174,11.0,3.4964346885681152
95,CNC,0.17687074829931973,0.17687074829931973,0.8231292517006803,0.8231292517006803,136,1,18.489795918367346,7.0,1.847332239151001
96,CNP,0.1901840490797546,0.1901840490797546,0.8052147239263804,0.8052147239263804,605,1,66.88803680981596,18.0,25.92876124382019
97,CDAY,0.2916666666666667,0.2916666666666667,0.7083333333333334,0.7083333333333334,49,1,11.791666666666666,7.0,0.4465351104736328
98,CERN,0.1532567049808429,0.1532567049808429,0.8084291187739464,0.8084291187739464,176,1,32.16475095785441,10.0,5.1619532108306885
99,CF,0.1510791366906475,0.1510791366906475,0.8489208633093526,0.8489208633093526,204,1,21.60431654676259,6.0,2.080756425857544
100,CRL,0.15879828326180256,0.15879828326180256,0.8412017167381974,0.8412017167381974,384,1,39.63090128755365,12.0,5.50944447517395
101,SCHW,0.17625899280575538,0.17625899280575538,0.8237410071942446,0.8237410071942446,320,1,22.165467625899282,8.0,4.446208477020264
102,CHTR,0.09701492537313433,0.09701492537313433,0.8955223880597015,0.8955223880597015,191,1,28.634328358208954,10.0,2.530714750289917
103,CVX,0.16526610644257703,0.16526610644257703,0.8319327731092437,0.8319327731092437,519,1,48.19047619047619,13.0,21.224661827087402
104,CMG,0.16774193548387098,0.16774193548387098,0.832258064516129,0.832258064516129,112,1,21.419354838709676,9.0,2.2600655555725098
105,CB,0.1640378548895899,0.1640378548895899,0.8296529968454258,0.8296529968454258,470,1,55.74447949526814,14.0,10.992055892944336
106,CHD,0.21363636363636362,0.21363636363636362,0.7840909090909091,0.7840909090909091,445,1,56.36363636363637,20.0,14.989302396774292
107,CI,0.18793503480278423,0.18793503480278423,0.8120649651972158,0.8120649651972158,306,1,38.01856148491879,12.0,9.979909181594849
108,CINF,0.18783068783068782,0.18783068783068782,0.8095238095238095,0.8095238095238095,685,1,63.78042328042328,19.0,14.105331182479858
109,CTAS,0.22254335260115607,0.22254335260115607,0.7745664739884393,0.7745664739884393,316,1,48.26011560693642,14.0,10.04841136932373
110,CSCO,0.1237785016286645,0.1237785016286645,0.8762214983713354,0.8762214983713354,338,1,33.16612377850163,9.0,6.131051301956177
111,C,0.15101289134438306,0.15101289134438306,0.8471454880294659,0.8471454880294659,548,1,43.97974217311234,12.0,14.492370843887329
112,CFG,0.15384615384615385,0.15384615384615385,0.8461538461538461,0.8461538461538461,225,1,28.747252747252748,10.0,1.9185810089111328
113,CTXS,0.08144796380090498,0.08144796380090498,0.9140271493212669,0.9140271493212669,295,1,25.900452488687783,8.0,3.9246652126312256
114,CLX,0.22018348623853212,0.22018348623853212,0.7798165137614679,0.7798165137614679,567,1,62.54678899082569,21.0,20.712668418884277
115,CME,0.1906779661016949,0.1906779661016949,0.809322033898305,0.809322033898305,419,1,39.53813559322034,10.0,5.876716375350952
116,CMS,0.23593073593073594,0.23593073593073594,0.7619047619047619,0.7619047619047619,433,1,68.18398268398268,19.0,18.518280267715454
117,KO,0.21245828698553948,0.21245828698553948,0.7842046718576196,0.7842046718576196,759,1,80.50723025583981,20.0,42.17508840560913
118,CTSH,0.08636363636363636,0.08636363636363636,0.9045454545454545,0.9045454545454545,330,1,28.40909090909091,9.0,3.9173004627227783
119,CL,0.17627118644067796,0.17627118644067796,0.8186440677966101,0.8186440677966101,686,1,59.28813559322034,16.0,20.620858430862427
120,CMCSA,0.12738853503184713,0.12738853503184713,0.8726114649681529,0.8726114649681529,316,1,40.697452229299365,9.5,8.37997555732727
121,CMA,0.14136125654450263,0.14136125654450263,0.8586387434554974,0.8586387434554974,378,1,38.94240837696335,10.5,9.136858940124512
122,CAG,0.1368421052631579,0.1368421052631579,0.8610526315789474,0.8610526315789474,534,1,48.16842105263158,16.0,13.891218662261963
123,COP,0.15023474178403756,0.15023474178403756,0.8474178403755869,0.8474178403755869,362,1,31.751173708920188,9.0,8.47357988357544
124,ED,0.23783031988873435,0.23783031988873435,0.7566063977746871,0.7566063977746871,1095,1,87.91933240611961,29.0,37.22996401786804
125,STZ,0.16932907348242812,0.16932907348242812,0.8210862619808307,0.8210862619808307,414,1,42.022364217252395,11.0,8.066619873046875
126,CEG,0.0,0.0,1.0,1.0,1,1,1.0,1.0,0.11842703819274902
127,COO,0.17759562841530055,0.17759562841530055,0.8169398907103825,0.8169398907103825,190,1,27.80054644808743,8.0,6.519466161727905
128,CPRT,0.18333333333333332,0.18333333333333332,0.8166666666666667,0.8166666666666667,422,1,43.175,12.5,6.489554166793823
129,GLW,0.16393442622950818,0.16393442622950818,0.8360655737704918,0.8360655737704918,312,1,30.194379391100703,9.0,8.338502645492554
130,CTVA,0.16666666666666666,0.16666666666666666,0.8333333333333334,0.8333333333333334,115,1,18.208333333333332,3.0,0.42879343032836914
131,COST,0.2028169014084507,0.2028169014084507,0.7971830985915493,0.7971830985915493,523,1,50.49577464788732,15.0,10.63567304611206
132,CTRA,0.09876543209876543,0.09876543209876543,0.897119341563786,0.897119341563786,164,1,16.818930041152264,5.0,2.8020946979522705
133,CCI,0.15891472868217055,0.15891472868217055,0.8372093023255814,0.8372093023255814,496,1,50.166666666666664,14.0,8.44888186454773
134,CSX,0.1735357917570499,0.1735357917570499,0.824295010845987,0.824295010845987,392,1,40.2234273318872,13.0,12.716439962387085
135,CMI,0.1356382978723404,0.1356382978723404,0.8643617021276596,0.8643617021276596,293,1,28.75531914893617,10.0,8.276056289672852
