,Stock,Best case profits ratio,Worst case profits ratio,Best case losses ratio,Worst case losses ratio,Max. trade period in days,Min. trade period in days,Avg. trade period in days,Median trade period in days,Total exploration time
0,MMM,0.6416978776529338,0.6416978776529338,0.35830212234706615,0.35830212234706615,138,1,21.22971285892634,15.0,10.75835132598877
1,AOS,0.6174142480211082,0.6174142480211082,0.38258575197889183,0.38258575197889183,119,1,16.12664907651715,11.0,4.2384421825408936
2,ABT,0.6688453159041394,0.6666666666666666,0.3289760348583878,0.3311546840958606,86,1,19.398692810457515,15.0,5.703348398208618
3,ABBV,0.7058823529411765,0.7058823529411765,0.29411764705882354,0.29411764705882354,69,1,12.705882352941176,9.0,0.9548752307891846
4,ABMD,0.6243093922651933,0.6132596685082873,0.3756906077348066,0.3867403314917127,36,1,6.486187845303867,4.0,1.0365886688232422
5,ACN,0.6807692307692308,0.6807692307692308,0.3153846153846154,0.3153846153846154,92,1,17.05,13.0,3.2850804328918457
6,ATVI,0.5909090909090909,0.5826446280991735,0.3925619834710744,0.40082644628099173,79,1,10.987603305785123,7.0,2.0779237747192383
7,ADM,0.6296296296296297,0.6296296296296297,0.37037037037037035,0.37037037037037035,78,1,15.515669515669515,11.0,3.8052220344543457
8,ADBE,0.6840148698884758,0.6840148698884758,0.3159851301115242,0.3159851301115242,54,1,10.50557620817844,8.0,2.1767325401306152
9,ADP,0.6614173228346457,0.6614173228346457,0.33858267716535434,0.33858267716535434,129,1,19.757874015748033,14.0,6.465037107467651
10,AAP,0.6555023923444976,0.6555023923444976,0.3444976076555024,0.3444976076555024,104,1,13.38755980861244,9.0,1.9720282554626465
11,AES,0.6,0.6,0.4,0.4,65,1,12.095833333333333,9.0,2.1253108978271484
12,AFL,0.6055045871559633,0.6055045871559633,0.3922018348623853,0.3922018348623853,122,1,20.61697247706422,14.0,5.758295297622681
13,A,0.664,0.664,0.336,0.336,67,1,12.428,9.0,2.1707191467285156
14,AIG,0.743988684582744,0.743988684582744,0.2545968882602546,0.2545968882602546,2626,1,541.8415841584158,26.0,216.43993258476257
15,APD,0.6849593495934959,0.6849593495934959,0.3130081300813008,0.3130081300813008,92,1,17.76219512195122,12.0,5.9170448780059814
16,AKAM,0.6022099447513812,0.5966850828729282,0.39779005524861877,0.40331491712707185,48,1,8.790055248618785,7.0,1.2400751113891602
17,ALK,0.6282051282051282,0.6282051282051282,0.3717948717948718,0.3717948717948718,71,1,9.23397435897436,6.0,2.2797563076019287
18,ALB,0.6879699248120301,0.6879699248120301,0.31203007518796994,0.31203007518796994,82,1,11.575187969924812,8.0,2.285741090774536
19,ARE,0.7382352941176471,0.7382352941176471,0.25882352941176473,0.25882352941176473,101,1,20.123529411764707,16.0,4.435874700546265
