,Stock,Best case profits ratio,Worst case profits ratio,Best case losses ratio,Worst case losses ratio,Max. trade period in days,Min. trade period in days,Avg. trade period in days,Median trade period in days,Total exploration time
0,MMM,0.5073891625615764,0.5061576354679803,0.49261083743842365,0.4938423645320197,48,1,8.573891625615763,7.0,5.5301878452301025
1,AOS,0.476056338028169,0.4619718309859155,0.523943661971831,0.5380281690140845,56,1,7.101408450704225,5.0,2.195580244064331
2,ABT,0.5066079295154186,0.5,0.4933920704845815,0.5,62,1,7.828193832599119,5.5,2.777757406234741
3,ABBV,0.6176470588235294,0.6176470588235294,0.38235294117647056,0.38235294117647056,23,1,5.372549019607843,5.0,0.5692555904388428
4,ABMD,0.48066298342541436,0.4198895027624309,0.5193370165745856,0.580110497237569,25,1,2.867403314917127,1.0,0.834092378616333
5,ACN,0.6015325670498084,0.5938697318007663,0.3946360153256705,0.40229885057471265,37,1,7.183908045977011,5.0,1.740478277206421
6,ATVI,0.4700854700854701,0.4358974358974359,0.5299145299145299,0.5641025641025641,35,1,4.487179487179487,3.0,1.0766870975494385
7,ADM,0.515850144092219,0.5100864553314121,0.484149855907781,0.4899135446685879,35,1,6.432276657060519,5.0,1.9803783893585205
8,ADBE,0.5091575091575091,0.48717948717948717,0.4908424908424908,0.5128205128205128,30,1,4.542124542124542,3.0,1.5931518077850342
9,ADP,0.528046421663443,0.5261121856866537,0.47195357833655704,0.4738878143133462,56,1,8.222437137330754,6.0,3.5674262046813965
10,AAP,0.49056603773584906,0.4858490566037736,0.5094339622641509,0.5141509433962265,27,1,4.783018867924528,3.0,1.1453309059143066
11,AES,0.4579831932773109,0.4411764705882353,0.542016806722689,0.5588235294117647,45,1,4.382352941176471,3.0,1.171316146850586
12,AFL,0.5,0.49765258215962443,0.5,0.5023474178403756,56,1,8.267605633802816,6.0,3.0159337520599365
13,A,0.5182186234817814,0.5060728744939271,0.4817813765182186,0.4939271255060729,36,1,5.42914979757085,4.0,1.4200868606567383
14,AIG,0.6554149085794655,0.6511954992967651,0.34458509142053445,0.3488045007032349,2624,1,532.6680731364276,9.0,217.72030425071716
15,APD,0.5266393442622951,0.5245901639344263,0.4733606557377049,0.47540983606557374,80,1,7.454918032786885,6.0,2.915653705596924
16,AKAM,0.5138121546961326,0.5082872928176796,0.4861878453038674,0.49171270718232046,19,1,4.2430939226519335,3.0,0.7983202934265137
17,ALK,0.5,0.4810126582278481,0.5,0.5189873417721519,17,1,3.5443037974683542,3.0,1.447110652923584
18,ALB,0.5437262357414449,0.5285171102661597,0.45627376425855515,0.4714828897338403,31,1,4.44106463878327,3.0,1.1551539897918701
19,ARE,0.592375366568915,0.5865102639296188,0.4046920821114369,0.41055718475073316,32,1,7.24633431085044,6.0,2.0787770748138428
20,ALGN,0.4791666666666667,0.4583333333333333,0.5208333333333334,0.5416666666666666,13,1,3.4305555555555554,3.0,0.7169630527496338
21,ALLE,0.488,0.488,0.512,0.512,32,1,6.456,5.0,0.7150471210479736
22,LNT,0.55,0.55,0.4479166666666667,0.4479166666666667,85,1,10.104166666666666,7.0,3.6827852725982666
23,ALL,0.5076142131979695,0.5076142131979695,0.49238578680203043,0.49238578680203043,52,1,7.916243654822335,6.0,2.462078809738159
24,GOOGL,0.5434782608695652,0.5347826086956522,0.45652173913043476,0.4652173913043478,25,1,6.3478260869565215,5.0,1.4572381973266602
25,GOOG,0.5726872246696035,0.5638766519823789,0.42731277533039647,0.43612334801762115,33,1,6.1233480176211454,6.0,1.3328707218170166
26,MO,0.4713467048710602,0.4713467048710602,0.5272206303724928,0.5272206303724928,45,1,7.995702005730659,7.0,4.685985803604126
27,AMZN,0.5358851674641149,0.5215311004784688,0.46411483253588515,0.4784688995215311,33,1,5.301435406698564,4.0,1.0359320640563965
28,AMCR,0.5535714285714286,0.5535714285714286,0.42857142857142855,0.42857142857142855,814,1,40.57142857142857,6.0,1.4870970249176025
29,AMD,0.4682926829268293,0.4146341463414634,0.5317073170731708,0.5853658536585366,16,1,2.2536585365853656,1.0,0.6982648372650146
30,AEE,0.5418994413407822,0.5363128491620112,0.4553072625698324,0.46089385474860334,55,1,9.22905027932961,7.0,2.387050151824951
31,AAL,0.41904761904761906,0.4095238095238095,0.580952380952381,0.5904761904761905,16,1,2.4952380952380953,1.0,0.6679348945617676
32,AEP,0.5178316690442225,0.5164051355206848,0.48216833095577744,0.48359486447931527,73,1,9.970042796005707,7.0,5.307031154632568
33,AXP,0.44269340974212035,0.4383954154727794,0.5573065902578797,0.5616045845272206,330,1,19.770773638968482,6.0,8.961855411529541
34,AMT,0.5551330798479087,0.5437262357414449,0.4448669201520912,0.45627376425855515,27,1,5.82509505703422,4.0,1.5085859298706055
35,AWK,0.5668202764976958,0.5668202764976958,0.42857142857142855,0.42857142857142855,29,1,7.949308755760368,7.0,1.468090295791626
36,AMP,0.5414364640883977,0.5303867403314917,0.4585635359116022,0.4696132596685083,26,1,5.066298342541437,4.0,1.0031301975250244
37,ABC,0.5672727272727273,0.56,0.43272727272727274,0.44,32,1,5.763636363636364,4.0,1.5820326805114746
38,AME,0.5109289617486339,0.5027322404371585,0.48633879781420764,0.49453551912568305,49,1,7.344262295081967,6.0,2.1568169593811035
39,AMGN,0.4835443037974684,0.4759493670886076,0.5164556962025316,0.5240506329113924,31,1,5.050632911392405,4.0,1.8780200481414795
40,APH,0.5081967213114754,0.505464480874317,0.4890710382513661,0.4918032786885246,70,1,7.221311475409836,5.0,2.039541482925415
41,ADI,0.45794392523364486,0.4485981308411215,0.5420560747663551,0.5514018691588785,30,1,4.327102803738318,3.0,1.3847203254699707
42,ANSS,0.5229357798165137,0.5137614678899083,0.47706422018348627,0.48623853211009177,42,1,5.353211009174312,3.0,1.16721510887146
43,ANTM,0.4935064935064935,0.48917748917748916,0.5064935064935064,0.5108225108225108,27,1,5.445887445887446,4.0,1.110384464263916
44,AON,0.5541125541125541,0.5476190476190477,0.4458874458874459,0.4523809523809524,43,1,8.045454545454545,6.0,2.8728573322296143
45,APA,0.45722713864306785,0.44542772861356933,0.5427728613569321,0.5545722713864307,44,1,3.725663716814159,3.0,1.3469452857971191
46,AAPL,0.40561224489795916,0.40561224489795916,0.5943877551020408,0.5943877551020408,28,1,4.946428571428571,4.0,1.9349381923675537
47,AMAT,0.43288590604026844,0.4161073825503356,0.5671140939597316,0.5838926174496645,23,1,3.8187919463087248,3.0,1.4827191829681396
48,APTV,0.5327868852459017,0.5245901639344263,0.4672131147540984,0.47540983606557374,21,1,4.622950819672131,3.0,0.8157246112823486
49,ANET,0.5211267605633803,0.5070422535211268,0.4788732394366197,0.49295774647887325,22,1,3.9295774647887325,3.0,0.35571837425231934
50,AIZ,0.5555555555555556,0.5555555555555556,0.4444444444444444,0.4444444444444444,29,1,6.550925925925926,5.0,1.3622527122497559
51,T,0.48789571694599626,0.48789571694599626,0.5121042830540037,0.5121042830540037,53,1,9.184357541899441,7.0,3.7448549270629883
