,Stock,Best case profits ratio,Worst case profits ratio,Best case losses ratio,Worst case losses ratio,Max. trade period in days,Min. trade period in days,Avg. trade period in days,Median trade period in days,Total exploration time
0,MMM,0.23756218905472637,0.23756218905472637,0.7624378109452736,0.7624378109452736,233,1,30.26492537313433,15.0,15.288153171539307
1,AOS,0.25,0.25,0.7472527472527473,0.7472527472527473,151,1,20.62912087912088,10.0,4.8662824630737305
2,ABT,0.25,0.25,0.75,0.75,183,1,25.316239316239315,13.5,7.600316762924194
3,ABBV,0.2647058823529412,0.2647058823529412,0.7352941176470589,0.7352941176470589,99,1,24.892156862745097,13.0,1.83701753616333
4,ABMD,0.23204419889502761,0.2265193370165746,0.7679558011049724,0.7734806629834254,83,1,7.56353591160221,3.0,1.3144750595092773
5,ACN,0.2441860465116279,0.2441860465116279,0.751937984496124,0.751937984496124,130,1,25.98062015503876,16.0,4.149820804595947
6,ATVI,0.2109704641350211,0.2109704641350211,0.7848101265822784,0.7848101265822784,116,1,13.139240506329115,7.0,2.3955328464508057
7,ADM,0.239067055393586,0.239067055393586,0.7580174927113703,0.7580174927113703,129,1,19.067055393586006,10.0,4.542914390563965
8,ADBE,0.25842696629213485,0.25842696629213485,0.7415730337078652,0.7415730337078652,89,1,13.928838951310862,8.0,2.7659032344818115
9,ADP,0.2627450980392157,0.2627450980392157,0.7352941176470589,0.7352941176470589,213,1,30.523529411764706,15.0,9.548938751220703
10,AAP,0.20388349514563106,0.20388349514563106,0.7961165048543689,0.7961165048543689,89,1,14.62135922330097,8.0,2.3441684246063232
11,AES,0.2109704641350211,0.20675105485232068,0.7890295358649789,0.7932489451476793,144,1,15.485232067510548,7.0,2.589066505432129
12,AFL,0.20745920745920746,0.20745920745920746,0.7878787878787878,0.7878787878787878,356,1,28.184149184149184,12.0,7.742715835571289
13,A,0.26720647773279355,0.2631578947368421,0.7327935222672065,0.7368421052631579,165,1,18.663967611336034,10.0,3.0462708473205566
14,AIG,0.4223776223776224,0.4223776223776224,0.5762237762237762,0.5762237762237762,2624,1,541.1090909090909,37.0,217.37175726890564
15,APD,0.25971370143149286,0.25971370143149286,0.7402862985685071,0.7402862985685071,178,1,26.23926380368098,14.0,7.9674072265625
16,AKAM,0.2430939226519337,0.23756906077348067,0.7569060773480663,0.7624309392265194,134,1,13.298342541436464,7.0,1.7672078609466553
17,ALK,0.22397476340694006,0.22397476340694006,0.7760252365930599,0.7760252365930599,96,1,11.517350157728707,6.0,2.6612114906311035
18,ALB,0.23954372623574144,0.23954372623574144,0.7604562737642585,0.7604562737642585,106,1,16.338403041825096,8.0,2.8457908630371094
19,ARE,0.31626506024096385,0.31626506024096385,0.6837349397590361,0.6837349397590361,246,1,31.44578313253012,16.0,6.44547176361084
20,ALGN,0.18055555555555555,0.18055555555555555,0.8194444444444444,0.8194444444444444,67,1,9.42361111111111,5.0,1.294142484664917
21,ALLE,0.23015873015873015,0.23015873015873015,0.7698412698412699,0.7698412698412699,141,1,24.22222222222222,10.5,1.898468255996704
22,LNT,0.2793522267206478,0.2793522267206478,0.7165991902834008,0.7165991902834008,267,1,42.0668016194332,22.0,12.359854459762573
23,ALL,0.27638190954773867,0.27638190954773867,0.7211055276381909,0.7211055276381909,250,1,31.28391959798995,15.0,7.42606782913208
24,GOOGL,0.27391304347826084,0.27391304347826084,0.7260869565217392,0.7260869565217392,113,1,20.269565217391303,13.0,3.0218002796173096
25,GOOG,0.28193832599118945,0.28193832599118945,0.7180616740088106,0.7180616740088106,113,1,21.3215859030837,13.0,3.088674783706665
